GeneID,pvalue,medDSSLS,meanDSSLS,sdDSSLS,bon.pvalue,fdr.pvalue,TreePvalue
FBgn0035248,0.007029778,0.06626189,-0.163127248,0.736867427,1,0.492132913,0.0533333333333333
FBgn0010408,0.010943723,0.00165162,-0.045634959,0.408190942,1,0.712113696,0.0533333333333333
FBgn0004106,0.015687686,0.04561399,-0.100892861,0.582111891,1,0.925847097,0.0533333333333333
FBgn0028693,2.62e-05,0.00689217,-0.147420595,0.717420893,0.268049243,0.00451121,0.06
FBgn0051729,0.039418466,0.00471574,-0.126098945,0.604692116,1,1,0.06
FBgn0032538,0.012567813,-0.02410279,0.069457149,1.009679524,1,0.797092565,0.0666666666666667
FBgn0033987,0.007501686,0.01669578,-0.134075003,0.620035395,1,0.520942581,0.08
FBgn0004828,0.021315998,-0.00839096,-0.039334781,0.487294532,1,1,0.0866666666666667
FBgn0030484,0.026370587,0.00568133,-0.142212511,0.645875269,1,1,0.0866666666666667
FBgn0085423,0.000762455,0.01316056,-0.11133748,0.580875027,1,0.077396769,0.0933333333333333
FBgn0034392,0.00509589,-0.00384126,-0.017820017,0.221035476,1,0.383173199,0.0933333333333333
FBgn0011655,3.41e-08,0.01655972,-0.189039017,0.693913373,0.000349026,1.02e-05,0.1
FBgn0005672,0.000200685,0.02205218,-0.181534441,0.843813698,1,0.025149984,0.1
FBgn0250910,0.006869863,0.00309934,-0.198309036,0.738664382,1,0.4842776,0.1
FBgn0263697,0.007543942,0.012617,-0.174468644,0.716475539,1,0.520942581,0.1
FBgn0037220,1.73e-10,0.01722417,-0.132942858,0.654835274,1.77e-06,8.01e-08,0.106666666666667
FBgn0053096,3.29e-09,0.00014218,-6.59e-05,0.002830042,3.37e-05,1.19e-06,0.106666666666667
FBgn0011217,1.13e-05,0.05226017,-0.006437947,0.462181744,0.115156472,0.002079008,0.113333333333333
FBgn0031645,0.002856287,0.03934299,-0.199843119,0.781189936,1,0.236431414,0.113333333333333
FBgn0053907,0.046780764,0.0238987,-0.304639061,0.844361944,1,1,0.12
FBgn0011747,5.68e-06,0.00250444,0.021381953,0.236588484,0.058024616,0.001087093,0.126666666666667
FBgn0053895,0.041939671,0.01894723,-0.300906514,0.826881952,1,1,0.126666666666667
FBgn0034057,6.14e-07,0.01885327,-0.099269738,0.54894237,0.006275268,0.000144909,0.133333333333333
FBgn0028671,0.000131779,0.00231884,-0.006239381,0.178028745,1,0.017835907,0.133333333333333
FBgn0000056,0.000230361,0.01522579,-0.093562557,0.503082313,1,0.028173457,0.133333333333333
FBgn0053897,0.041825474,0.01908898,-0.300905416,0.826942701,1,1,0.133333333333333
FBgn0053893,0.041882541,0.01888858,-0.300906512,0.826970811,1,1,0.133333333333333
FBgn0053899,0.041939671,0.01892389,-0.300907221,0.82684247,1,1,0.133333333333333
FBgn0027794,1.03e-20,0.12188012,0.193561474,0.762453428,1.06e-16,1.75e-17,0.14
FBgn0037689,1.14e-14,0.01765585,-0.14185372,0.685557091,1.17e-10,1.05e-11,0.14
FBgn0038727,2.01e-06,0.01467037,-0.180747057,0.703968058,0.020571503,0.000415041,0.14
FBgn0028516,0.0011519,0.02277106,-0.199228909,0.784090918,1,0.11031072,0.14
FBgn0053871,0.046780764,0.02393506,-0.304635313,0.84443028,1,1,0.14
FBgn0053887,0.046780764,0.02398037,-0.304636163,0.844426791,1,1,0.14
FBgn0053889,0.046780764,0.0239461,-0.304642871,0.844315542,1,1,0.14
FBgn0003463,0.010508808,0.05344411,-0.138490576,0.665340977,1,0.692694221,0.146666666666667
FBgn0037013,0.029641832,0.02441853,-0.010011637,0.198396947,1,1,0.146666666666667
FBgn0053909,0.046718375,0.02381107,-0.304634332,0.844460226,1,1,0.146666666666667
FBgn0036919,0.000104024,0.0167556,-0.164190067,0.664807687,1,0.014465011,0.16
FBgn0040076,0.021577291,-0.02088294,0.122886582,1.152805943,1,1,0.16
FBgn0038111,0.000329113,0.01282497,-0.152166539,0.63936024,1,0.037963875,0.166666666666667
FBgn0051189,0.029959828,0.00545204,0.020270938,0.557328214,1,1,0.166666666666667
FBgn0040370,0.046290302,0.01078131,-0.10981269,0.562289994,1,1,0.166666666666667
FBgn0034691,8.57e-09,0.02783354,0.146776955,1.05876296,8.76e-05,2.72e-06,0.173333333333333
FBgn0015621,1.85e-07,0.02865309,0.165192288,1.070902766,0.001895738,4.83e-05,0.173333333333333
FBgn0039612,1.41e-13,0.00327496,0.094739038,0.478653559,1.44e-09,9.51e-11,0.18
FBgn0260454,5.86e-07,0.159877895,0.134762937,1.33188844,0.005988501,0.000141579,0.18
